word,meaning,example,image
Acetaminophen,Paracetamol,"500 mg every 4-6 hours,	Nausea, rash, liver damage (overdose)",https://tse1.mm.bing.net/th?id=OIP.GRzsMiEPrnxpnHjss3ccewHaHa&pid=Api&P=0&h=180
Ibuprofen,Generic Ibuprofen,"200-400 mg every 4-6 hours,Stomach upset, nausea,https://tse2.mm.bing.net/th?id=OIP.3lkJ6mZvaNZ1OIdjkc_pRgHaHa&pid=Api&P=0&h=180 headache,dizziness",https://images.unsplash.com/photo-1492684223066-81342ee5ff30
Metformin,Glucophage,"500-2000 mg daily, Gastrointestinal upset, lactic acidosis (rare).",https://tse4.mm.bing.net/th?id=OIP.aSs2YXP3dnvdkRHXr6N3wwHaGl&pid=Api&P=0&h=180
Omeprazole,Prilosec,"20-40 mg daily,Headache,diarrhea,nausea, stomach pain",https://tse3.mm.bing.net/th?id=OIP.TA8XyDZiS8g-jb57MG92jQEsEs&pid=Api&P=0&h=180
Simvastatin,Zocor,"10-40 mg daily, Muscle pain, liver damage, digestive issues",https://tse3.mm.bing.net/th?id=OIP.4Hya8QAFywYfaSZuIr52SgHaHa&pid=Api&P=0&h=180
Hydrochlorothiazide,Microzide,"12.5-50 mg daily,Dizziness, dehydration,low potassium",https://tse1.mm.bing.net/th?id=OIP.wEBCEyvDXC8HNyAiGkpfDgHaG0&pid=Api&P=0&h=180
Loratadine,Claritin,"10 mg daily, Headache, dry mouth, fatigue",https://tse4.mm.bing.net/th?id=OIP.2AAze9UPfBeH0x038jQPrgHaHa&pid=Api&P=0&h=180
Amoxicillin,Amoxil,"250-500 mg every 8 hours, Nausea, diarrhea, allergic reactions",https://tse3.mm.bing.net/th?id=OIP.ktaSBci3GteYOIYebBP6RQHaJA&pid=Api&P=0&h=180
Sertraline,Zoloft,"50-200 mg daily, Nausea, insomnia, sexual dysfunction",https://tse3.mm.bing.net/th?id=OIP.zyg1571i0fHcBzyZAmkMEgHaLD&pid=Api&P=0&h=180
Aspirin,Acetylsalicylic Acid,"81-325 mg daily, Stomach upset, bleeding risk, allergic reactions",https://tse3.mm.bing.net/th?id=OIP.nIjHnL6kyrFaQ2te7aFY7AHaDp&pid=Api&P=0&h=180
Fluoxetine,Prozac,"20-80 mg daily, Nausea, insomnia, sexual dysfunction",https://tse2.mm.bing.net/th?id=OIP.uSdgxTcVeoNWeLYcUqNiawHaHa&pid=Api&P=0&h=180
Bupropion,Wellbutrin,"150-400 mg daily, Insomnia; dry mouth; anxiety",https://tse4.mm.bing.net/th?id=OIP.1QyDcQQBDUwp2hdcQavIfwHaLw&pid=Api&P=0&h=180
Clopidogrel,Plavix,"75 mg daily, Bleeding risk; gastrointestinal upset",https://tse4.mm.bing.net/th?id=OIP.-_HJE4BOpPOAout9fn8KbQAAAA&pid=Api&P=0&h=180
Gabapentin,Neurontin,"300-1800 mg daily, Dizziness; fatigue; coordination problems",https://tse1.mm.bing.net/th?id=OIP.JxCMyr2pkAdJLQhyMOXWcAHaHa&pid=Api&P=0&h=180
